name,score,stars_y,review_count,city
'feine,2.9871210584265273,4.5,166,Conshohocken
101 Taiwanese Cuisine,2.9940584881716803,4.0,1145,Reno
10th Street Italian,2.9,4.0,8,Saint Louis
1200 Chophouse,3.1838690704865367,4.5,455,St. Petersburg
12th & Porter,1.9562230998168497,3.5,46,Nashville
16th Street Seafood,2.131359649122807,4.0,7,Philadelphia
1911 Smoke House Barbeque,2.96560863685187,4.0,136,Trenton
1925 Cocktail Lounge,1.997989022050658,2.5,47,Philadelphia
211 York,2.917096850198413,4.0,14,Jenkintown
24,2.6500564146097974,3.5,111,Philadelphia
3 Sisters Café,2.936109475399557,4.0,358,Indianapolis
30 Main,2.4235263347763345,4.0,54,Berwyn
312 Pizza Company,2.5233242603412283,3.5,532,Nashville
365 Caffe Italiano,2.9921819279100528,4.5,127,Wesley Chapel
39 West American Bistro,3.644882346189165,4.0,36,West Chester
3J's Food Market,3.6317414772727274,4.5,46,Philadelphia
4 Rivers Smokehouse,2.8091114595966276,4.0,343,Tampa Bay
4th Street Pizza,2.906171066252588,3.0,67,St. Petersburg
5 Star Burgers,2.8027909104288566,4.0,128,Kirkwood
5 Star India,3.6252142857142857,4.0,11,Bridgeton
500 Degrees,2.4845988150642957,3.5,443,Philadelphia
51st Deli,3.3366643207282913,4.5,164,Nashville
5th St. Bakehouse,3.248941856369116,4.0,181,Reno
6 North Cafe,2.6267389563403767,4.0,91,Ballwin
66 Q-pot,2.636887884625717,4.0,113,Pinellas Park
701 Taphouse,1.7177435064935063,3.5,23,Tarpon Springs
805 Kabob,2.6570341730239453,3.5,63,Goleta
8th & Union Kitchen,3.044529112413276,3.5,177,Wilmington
@Ramen,1.4306891233766232,2.5,12,Philadelphia
A Matter of Taste,3.604179067460317,4.5,29,Nashville
A Taste of Jamaica,1.4221384803921566,3.5,14,Philadelphia
A Taste of Thai,3.1451091882391595,3.5,42,Boise
"A Tutti, Ristorante Italiano",3.2845133026695525,4.5,78,Philadelphia
A&M Factory,3.6081534090909093,5.0,57,Malvern
A&W,2.830833333333333,3.0,8,St Albert
ABC Pizza House,2.7035071984070616,4.0,121,Tampa
AJ's Fine Foods,3.1070760500510173,4.0,258,Tucson
ALM Kainan,2.8860323660714284,4.0,13,Sparks
AM@FM,3.0308130454661204,4.0,41,Nashville
